Year,Month,Day,Hour,Minute,Second,KUM_META.t
2020,01,29,11,00,00,0.765
2020,01,29,12,00,00,1.07333
2020,01,29,13,00,00,1.26833
2020,01,29,14,00,00,1.45333
2020,01,29,15,00,00,1.64167
2020,01,29,16,00,00,1.58167
2020,01,29,17,00,00,1.68833
2020,01,29,18,00,00,1.93
2020,01,29,19,00,00,2.02
2020,01,29,20,00,00,1.99833
2020,01,29,21,00,00,2.06
2020,01,29,22,00,00,2.08333
2020,01,29,23,00,00,1.99833
2020,01,30,00,00,00,1.5
2020,01,30,01,00,00,0.87
2020,01,30,02,00,00,0.89833
2020,01,30,03,00,00,1.50667
2020,01,30,04,00,00,1.695
2020,01,30,05,00,00,1.76
2020,01,30,06,00,00,1.61167
2020,01,30,07,00,00,1.13167
2020,01,30,08,00,00,1.38667
2020,01,30,09,00,00,1.4
2020,01,30,10,00,00,1.53167
2020,01,30,11,00,00,1.63167
2020,01,30,12,00,00,1.41167
2020,01,30,13,00,00,1.36
2020,01,30,14,00,00,1.25833
2020,01,30,15,00,00,0.92167
2020,01,30,16,00,00,0.985
2020,01,30,17,00,00,1.005
2020,01,30,18,00,00,1.1
2020,01,30,19,00,00,1.34
2020,01,30,20,00,00,1.78667
2020,01,30,21,00,00,1.97667
2020,01,30,22,00,00,2.00167
2020,01,30,23,00,00,1.41333
2020,01,31,00,00,00,0.98833
2020,01,31,01,00,00,1.605
2020,01,31,02,00,00,1.76333
2020,01,31,03,00,00,1.79167
2020,01,31,04,00,00,1.73333
2020,01,31,05,00,00,1.69333
2020,01,31,06,00,00,1.70667
2020,01,31,07,00,00,1.74833
2020,01,31,08,00,00,1.71667
2020,01,31,09,00,00,1.725
2020,01,31,10,00,00,1.80833
2020,01,31,11,00,00,1.73333
2020,01,31,12,00,00,1.705
2020,01,31,13,00,00,1.51833
2020,01,31,14,00,00,1.39833
2020,01,31,15,00,00,1.41833
2020,01,31,16,00,00,1.33333
2020,01,31,17,00,00,1.30167
2020,01,31,18,00,00,1.38333
2020,01,31,19,00,00,1.55
2020,01,31,20,00,00,1.68167
2020,01,31,21,00,00,1.7
2020,01,31,22,00,00,1.62167
2020,01,31,23,00,00,1.58333
2020,02,01,00,00,00,1.51833
2020,02,01,01,00,00,1.61
2020,02,01,02,00,00,1.58833
2020,02,01,03,00,00,1.43833
2020,02,01,04,00,00,1.39333
2020,02,01,05,00,00,1.58833
2020,02,01,06,00,00,1.55167
2020,02,01,07,00,00,1.58333
